	Ref	POS	Morpheme	MorTag	Line
63	<CA Lk 6:48>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
64	<CA Lk 6:48>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
65	<CA Lk 6:48>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
66	<CA Lk 6:48>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
67	<CA Lk 6:48>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
68	<CA Lk 6:48>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
69	<CA Lk 8:19>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	atiddjedun þan du imma aiþei jah broþrjus is jah ni ▶mahtedun◀ andqiþan imma faura managein . 
70	<CA Lk 8:43>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
71	<CA Lk 8:43>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
72	<CA Lk 8:43>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
73	<CA Lk 8:43>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
74	<CA Lk 8:43>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
75	<CA Lk 8:43>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
76	<CA Lk 8:43>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah qino wisandei in runa bloþis jera twalif , soei in lekjans fraqam allamma aigina seinamma , jah ni ▶mahta◀ was fram ainomehun galeikinon , 
77	<CA Lk 8:46>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	þaruh is qaþ : taitok mis sums ; ik auk ufkunþa ▶maht◀ usgaggandein af mis . 
78	<CA Lk 8:46>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	þaruh is qaþ : taitok mis sums ; ik auk ufkunþa ▶maht◀ usgaggandein af mis . 
79	<CA Lk 9:1>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	Gahaitands þan þans twalif apaustauluns atgaf im ▶maht◀ jah waldufni ufar allaim unhulþom jah sauhtins gahailjan . 
80	<CA Lk 9:1>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	Gahaitands þan þans twalif apaustauluns atgaf im ▶maht◀ jah waldufni ufar allaim unhulþom jah sauhtins gahailjan . 
81	<CA Lk 9:40>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	jah baþ siponjans þeinans ei usdribeina imma , jah ni ▶mahtedun◀ . 
82	<CA Lk 9:42>	Verb	V.prt.-prs.	ACT-IND-PRES-DUAL-1	þaruh nauhþan duatgaggandin imma , gabrak ina sa unhulþa jah tahida . gaƕotida þan Iesus ahmin þamma unhrainjin jah gahailida þana ▶magu◀ jah atgaf ina attin is . 
83	<CA Lk 9:43>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-1	usfilmans þan waurþun allai ana þizai mikilein gudis . at allaim þan sildaleikjandam bi alla þoei gatawida Iesus qaþ Paitrus : frauja , duƕe weis ni ▶mahtedum◀ usdreiban þamma ? iþ Iesus qaþ : þata kuni ni usgaggiþ , nibai in bidom jah in fastubnja . qaþ þan du siponjam seinaim : 
84	<CA Lk 9:50>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah qaþ du im Iesus : ni warjiþ , unte saei nist wiþra izwis , faur izwis ist . ni ainshun auk ist manne , saei ni gawaurkjai ▶maht◀ in namin meinamma . 
85	<CA Lk 9:50>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	jah qaþ du im Iesus : ni warjiþ , unte saei nist wiþra izwis , faur izwis ist . ni ainshun auk ist manne , saei ni gawaurkjai ▶maht◀ in namin meinamma . 
86	<CA Lk 10:19>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	sai , atgaf izwis waldufni trudan ufaro waurme jah skaurpjono jah ana allai ▶mahtai◀ fijandis , jah waihte ainohun izwis ni gaskaþjiþ . 
87	<CA Lk 10:19>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	sai , atgaf izwis waldufni trudan ufaro waurme jah skaurpjono jah ana allai ▶mahtai◀ fijandis , jah waihte ainohun izwis ni gaskaþjiþ . 
88	<CA Lk 10:27>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	iþ is andhafjands qaþ : frijos fraujan guþ þeinana us allamma hairtin þeinamma jah us allai saiwalai þeinai jah us allai ▶mahtai◀ þeinai jah us allai gahugdai þeinai , jah neƕundjan þeinana swe þuk silban . 
89	<CA Lk 10:27>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	iþ is andhafjands qaþ : frijos fraujan guþ þeinana us allamma hairtin þeinamma jah us allai saiwalai þeinai jah us allai ▶mahtai◀ þeinai jah us allai gahugdai þeinai , jah neƕundjan þeinana swe þuk silban . 
90	<CA Lk 14:20>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah sums qaþ : qen liugaida jah duþe ni ▶mag◀ qiman . 
91	<CA Lk 14:20>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah sums qaþ : qen liugaida jah duþe ni ▶mag◀ qiman . 
92	<CA Lk 14:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jabai ƕas gaggiþ du mis jah ni fijaiþ attan seinana jah aiþein jah qen jah barna jah broþruns jah swistruns , nauhuþ~þan seina silbins saiwala , ni ▶mag◀ meins siponeis wisan . 
93	<CA Lk 14:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jabai ƕas gaggiþ du mis jah ni fijaiþ attan seinana jah aiþein jah qen jah barna jah broþruns jah swistruns , nauhuþ~þan seina silbins saiwala , ni ▶mag◀ meins siponeis wisan . 
94	<CA Lk 14:27>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah saei ni bairiþ galgan seinana jah gaggai afar mis , ni ▶mag◀ wisan meins siponeis . 
95	<CA Lk 14:27>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah saei ni bairiþ galgan seinana jah gaggai afar mis , ni ▶mag◀ wisan meins siponeis . 
96	<CA Lk 14:29>	Verb	V.prt.-prs.	ACT-OPT-PRET-SING-3	ibai aufto , biþe gasatidedi grunduwaddju jah ni ▶mahtedi◀ ustiuhan , allai þai gasaiƕandans duginnaina bilaikan ina , 
97	<CA Lk 14:30>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
98	<CA Lk 14:30>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
99	<CA Lk 14:30>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
100	<CA Lk 14:30>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
101	<CA Lk 14:30>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
102	<CA Lk 14:30>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
103	<CA Lk 14:30>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	qiþandans þatei sa manna dustodida timbrjan jah ni ▶mahta◀ ustiuhan . 
104	<CA Lk 14:33>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	swah nu ƕarjizuh izwara saei ni afqiþiþ allamma aigina seinamma , ni ▶mag◀ wisan meins siponeis . 
105	<CA Lk 14:33>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	swah nu ƕarjizuh izwara saei ni afqiþiþ allamma aigina seinamma , ni ▶mag◀ wisan meins siponeis . 
106	<CA Lk 16:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	jah atwopjands ina qaþ du imma : duƕe þata hausja fram þus ? usgif raþjon fauragaggjis þeinis , ni ▶magt◀ auk ju þanamais fauragaggja wisan . 
107	<CA Lk 16:3>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	qaþ þan in sis sa fauragaggja : ƕa taujau , þandei frauja meins afnimiþ fauragaggi af mis ? graban ni ▶mag◀ , bidjan skama mik . 
108	<CA Lk 16:3>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	qaþ þan in sis sa fauragaggja : ƕa taujau , þandei frauja meins afnimiþ fauragaggi af mis ? graban ni ▶mag◀ , bidjan skama mik . 
109	<CA Lk 16:13>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni ainshun þiwe ▶mag◀ twaim fraujam skalkinon ; andizuh ainana fijaiþ jah anþarana frijoþ , aiþþau ainamma andtiloþ , iþ anþaramma frakann ; ni ▶mag◀uþ guda skalkinon jah faihuþraihna . 
110	<CA Lk 16:13>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	ni ainshun þiwe ▶mag◀ twaim fraujam skalkinon ; andizuh ainana fijaiþ jah anþarana frijoþ , aiþþau ainamma andtiloþ , iþ anþaramma frakann ; ni ▶mag◀uþ guda skalkinon jah faihuþraihna . 
111	<CA Lk 16:13>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ni ainshun þiwe mag twaim fraujam skalkinon ; andizuh ainana fijaiþ jah anþarana frijoþ , aiþþau ainamma andtiloþ , iþ anþaramma frakann ; ni ▶maguþ◀ guda skalkinon jah faihuþraihna . 
112	<CA Lk 18:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	qeþun þan þai gahausjandans : an ƕas ▶mag◀ ganisan ? 
113	<CA Lk 18:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	qeþun þan þai gahausjandans : an ƕas ▶mag◀ ganisan ? 
114	<CA Lk 19:3>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
115	<CA Lk 19:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
