	Ref	POS	Morpheme	MorTag	Line
30	<B Eph 4:28>	Verb	V.prt.-prs.	WEAK-NEUT-DAT-SING	saei hlefi , þanaseiþs ni hlifai , ak mais arbaidjai , waurkjands swesaim handum þiuþ , ei habai dailjan ▶þaurbandin◀ . 
31	<B Eph 4:28>	Verb	V.prt.-prs.	WEAK-MASC-DAT-SING	saei hlefi , þanaseiþs ni hlifai , ak mais arbaidjai , waurkjands swesaim handum þiuþ , ei habai dailjan ▶þaurbandin◀ . 
32	<B Eph 5:4>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	aiþþau aglaitiwaurdei aiþþau dwala(unclear)wa(/unclear)urdei aiþþau saldra , þoei d(unclear)u(/unclear)þaurftai ▶ni◀ fairrinnand , ak mais awiliuda . 
33	<B Eph 5:4>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	aiþþau aglaitiwaurdei aiþþau dwala(unclear)wa(/unclear)urdei aiþþau saldra , þoei d(unclear)u(/unclear)þaurftai ▶ni◀ fairrinnand , ak mais awiliuda . 
34	<B 1Thess 4:9>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	aþþan bi broþrulubon ni ▶þaurbum◀ meljan izwis , unte silbans jus at guda uslaisidai sijuþ du frijon izwis misso . 
35	<B 1Thess 4:12>	Verb	V.prt.-prs.	ACT-OPT-PRES-PLUR-2	ei gaggaiþ gafehaba du þaim þaiei uta sind jah ni ainishun ƕis ▶þaurbeiþ◀ . 
36	<B 1Thess 5:1>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	Aþþan bi þo þeihsa jah mela , broþrjus , ni ▶þaurbum◀ ei izwis meljaima ; 
37	<A 2Tim 3:16>	Verb	V.prt.-prs.	STRONG-FEM-ACC-PLUR	all boko gudiskaizos ahmateinais jah ▶þaurftos◀ du laiseinai , du gasahtai , du garaihteinai , du talzeinai in garaihtein , 
38	<A 2Tim 3:16>	Verb	V.prt.-prs.	STRONG-FEM-NOM-PLUR	all boko gudiskaizos ahmateinais jah ▶þaurftos◀ du laiseinai , du gasahtai , du garaihteinai , du talzeinai in garaihtein , 
39	<B 2Tim 3:16>	Verb	V.prt.-prs.	STRONG-FEM-ACC-PLUR	all boko gudiskaizo(add)s(add) ahmateinais jah ▶þaurftos◀ du laiseinai , du gasahtai , du garaihteinai , du talzeinai in garaihtein , 
40	<B 2Tim 3:16>	Verb	V.prt.-prs.	STRONG-FEM-NOM-PLUR	all boko gudiskaizo(add)s(add) ahmateinais jah ▶þaurftos◀ du laiseinai , du gasahtai , du garaihteinai , du talzeinai in garaihtein , 
